USCARS,GERMANCARS
14,19.5
10.9,15.2
15.7,16
19,14.1
18.8,16
20.5,7.09
8.03,16.1
14.2,10.9
18.4,17.3
11.5,18.8
12.7,22.3
9.6,14
9.1,13.4
11.8,17.3
12.5,15.7
8.24,15.8
13.1,23.4
13.7,16.8
15.4,16
13.8,24.5
13.9,13.9
13.8,22.1
19.2,16.6
14.7,16.4
14.4,23.6
13.3,18.2
21.2,18.5
17.7,15.6
22.5,19.6
12.9,16.4
20.3,13.5
9.85,11.9
16.7,17.5
17.8,12.4
21.1,25
14.7,16.1
13.3,9.87
17.1,15.2
13.7,20.8
17.4,15
10.3,13.8
12.2,10.8
10.1,18
13.8,15.9
14.8,19.1
15,13.9
13.9,15.2
22,17.9
9.44,15.2
12.6,17.6
6.77,6.06
19.6,16.4
10.9,17.7
12.9,25.8
17.4,10.1
16.4,9.99
17.7,6.78
16.9,21.7
10.6,26.9
11.4,15
17.2,12.3
16,19
12,19.5
14.2,13
15.4,20.1
16.7,19.5
15.4,15.8
12,10
21,21
16.5,19.9
15.2,15.1
17.6,13.7
17.7,20.4
12.9,18.1
12,19
18.5,25.6
11.1,17.8
10,11.9
17.2,18.7
17,11.4
22,19.1
19.6,16
19.1,17.9
15.3,18.2
15,17.2
16.4,15.5
14.9,10.9
11.6,25.8
9.33,23.5
17.6,21.2
16.4,10.3
16.9,11.8
15.6,18.9
11.7,17
18.9,16.6
14,17.3
12.3,8.6
12.3,15.5
13.6,12.6
13.5,12.4
